# Normalized warning identities: source path | warning code | message
# Generated on 2026-08-01 from commit 5caf809a4276a1a27d05a98451ec5df3d71a6842 (dirty tree).
src/Navigation/NekoLib.Navigation.Wpf/Adapters/WpfInteractionObserver.cs|CS8618|Non-nullable event 'InteractionDetected' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Adapters/WpfTimerAdapter.cs|CS8618|Non-nullable event 'Tick' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/DialogViewBase.cs|CS8618|Non-nullable field '_completionCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/DialogViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/PopoverViewBase.cs|CS8618|Non-nullable field '_completionCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/PopoverViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/PromptViewBase.cs|CS8618|Non-nullable field '_completionCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/PromptViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/ToastViewBase.cs|CS8618|Non-nullable field '_dismissCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Hosting/ToastViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation/Bootstrap/PageNavBootstrap.cs|CS8600|Converting null literal or possible null value to non-nullable type.
